corpus,repo,path,git_blob_sha1,sha256,bytes,verdict_repo_level,repo_head_commit_at_manifest_time
counter_search,lawalbolaji/p2p-wazobia,src/modules/auth/middleware/jwt.middleware.ts,1d7b148c61030c71281e520abc5bae295350054c,43be4768cb57b2410bf26da184e68703233e6339da8fb5008799b2a4554e8dde,2036,,09b9314e8d748fd6d9bfda40994b98e72eb083d9
counter_search,Neyen108/docker-nodejs-typescript-mongodb-rest-api,auth/middleware/jwt.middleware.ts,9da7c1882ba208ff1ae4e250b928955f1773b9b8,cd43e9bf5532ca6efafa50807a1494bbef3b47b08fad33d8c7a9b56e31c19fee,2341,,760de80155bf771794bbb6e38b6d0809403c6be0
counter_search,Neyen108/cross-blog-backend,auth/middleware/jwt.middleware.ts,9da7c1882ba208ff1ae4e250b928955f1773b9b8,cd43e9bf5532ca6efafa50807a1494bbef3b47b08fad33d8c7a9b56e31c19fee,2341,,d256d93daf9916baf8597215073ea6bcc9f7aa38
counter_search,ndungu-mbau/mashule-backend,src/authentication/services/jwt.provider.ts,7a7dce3b82ef213c5dd51c394a39bbad617c025a,70dc6c8c0b77d0fbff5a71155b33af54363be2180273e899e7cd936f7891f867,2116,,73606312d5455c59aba554c26190321142654407
counter_search,victor-devv/mock-premier-league,src/middlewares/jwt.middleware.ts,5b84b04c1d4f5560f1ae9532fe4688eb3aa2040e,f04ff27b4e5bf9f087b6d7a148001fdeb8dcb8e64747d68b01d0fa64bf1af1f5,3239,,4c58dc419799e6d57e6214788eb4f117974b7646
counter_search,n4matos/boticario-cashback-api,src/auth/middleware/jwt.middleware.ts,53400b607512025a1b7b916cf4a83b63fc35933d,cf640ffb20e7200c5a413af00b614fc18eae90518f7975b06cb19b1b4548bab2,2068,,1fde84d5fbc6410abdeb5b3c47cf7b77175ea7b5
counter_search,abchakra/rest-api-ts,app/auth/middleware/jwt.middleware.ts,1354f7ec7c60fddfdca8c5c7aa954385ab6d80e1,e5836517366b4871a7e3c80318dd0c06c25d963c13def3a9b115c9a38c38839c,1980,,763ece43fa11d13c025d6c28a0628f880e86558e
counter_search,arfan-ahmed-shohag/Income-Expense-Tracker,Income_Expense_Backend/src/utils/jwt.ts,bcd612dd1130e75e4fc92cc37d476638c79215b4,98d3abde71bf13ca59e0b36873ae48ad9f0da45e6f02dbff378c5253488c10e0,573,,7f42e7f03a3df5610b62dd5471a610dfc1750df1
counter_search,gstvomacedo/cashback-app,app/auth/middleware/jwt.middleware.ts,28aa306445af1b9ff3af070f25e9470168abbd00,879ec692958a475d8e70a48786ca52b9696c4f63d77fc07eb587754e61ada53d,2208,,6cbd293ecbe57e718624def0823c4eb617ab0e44
counter_search,mwinel/ezziepos-backend,src/auth/middlewares/jwt.middleware.ts,90f788eb592842572a6670566b2e535f02c2045f,af357d2f1c5a3a8c8017de36d172c9f402e9989fb216420f158c590c45863fa2,2164,,c5a301f3c166266b20ae1555e8c1c56a9ed5c270
counter_search,ramu-narasinga/practicefrontend.tthroo.com,backend/auth/middleware/jwt.middleware.ts,b3ea536a625d970eb5aa4bc64163cfd2c5682efa,6788611685f12968627aad72d02a2ccb37a00bd36b02b00f96f4f2cd33cbfea5,2449,,27d17d73a36f74176c486b678cfa54e55ed043a8
counter_search,pirocorp/JS-Back-End,Workshops/REST API/auth/middleware/jwt.middleware.ts,1bc96840e27d2b8f3ec6f5ef90b1a2c7ea8aa2cc,006f03ff532a5f8f6b7cfa1d0d92b25fa26f6bc9cd2d232350dc0b82f17b820c,2355,,2e4a7f011229509d5456169f6c382e2a02b97151
counter_search,erkjbro/examples,backend/pro-rest-api/auth/middleware/jwt.middleware.ts,954ad805d4ca55721cf80faf4b04e36254340eb8,9d050f574cf17c2e9178ea80db8ad4a1dcb9d0ffb10e7a6fa09133448e8f44b0,1958,,3fd33c5c858c81766324e9a267e29108f41cdef6
counter_search,geekreflex/ripple-api,src/modules/auth/middleware/jwt.middleware.ts,bcb398d0a2dc2cc3236354806ea28bff6718268c,eeebfb81d72fd00a74878f464eb96bdde9820e733bea47607c8d593f3ee224a1,1815,,7200e9e4b3574238b44e47fed1c313e597c28070
counter_search,nehaal10/medium-blog,server/src/utils/utils.ts,2f7b5ef8452389289baedda696d70eaacd1f2f59,841d729424a6838a5acc110deb97960df1a6ea7437cc354e95ec111399308589,1901,,9f92d7b1dca568193429c9219d0740cb66891d76
