TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:18:52,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:18:57,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:18:57,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:19:02,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:19:02,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:19:07,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:19:07,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:19:13,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:19:13,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:19:18,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:19:18,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:19:23,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:19:23,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:19:28,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:19:28,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:19:33,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:19:33,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:19:38,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:19:38,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:19:43,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:19:43,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:19:48,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:19:48,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:19:53,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:19:53,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:19:59,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:19:59,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:20:04,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
